Company,Model,Odometer reading,fuel,transmission,owner,mileage,engine,max_power,seats,Price
Lexus,2019,20000,Petrol,Automatic,First,22.37,2487,214.56,5,5150000
Maruti,2013,80000,CNG,Manual,Second,32.52,998,58.33,5,270000
Tata,2017,70000,Diesel,Manual,First,19.09,1405,69.01,5,450000
Ford,2016,70000,Diesel,Manual,Second,25.83,1498,99,5,350000
Maruti,2016,81000,Diesel,Manual,Second,28.09,1248,88.5,5,650000
Maruti,2010,60000,Petrol,Manual,Second,17.5,1298,85.8,5,240000
Honda,2017,28000,Petrol,Manual,First,17.8,1497,117.3,5,860000
Mahindra,2015,70000,Diesel,Manual,First,15.4,2179,120,7,1100000
Renault,2018,26000,Diesel,Manual,First,19.6,1461,108.45,5,950000
Maruti,2020,30000,Petrol,Manual,First,22.05,796,47.3,5,250999
Hyundai,2017,56290,Diesel,Manual,First,24,1186,73.97,5,450000
Hyundai,2017,25000,Petrol,Manual,First,18.9,1197,82,5,550000
Volvo,2018,2000,Diesel,Automatic,First,16.8,1984,150,5,2475000
BMW,2017,44000,Diesel,Automatic,First,22.69,1995,190,5,2600000
Hyundai,2013,90000,Petrol,Manual,First,17.92,1086,62.1,5,200000
Mahindra,2016,110000,Petrol,Manual,First,18.15,1198,82,6,426000
Hyundai,2013,65000,Petrol,Manual,First,17.92,1086,62.1,5,180000
Mahindra,2011,120000,Diesel,Manual,Second,12.05,2179,120,8,430000
Renault,2018,13120,Petrol,Manual,First,25.17,799,53.3,5,390000
Skoda,2013,60000,Petrol,Automatic,First,13.7,1798,157.75,5,500000
Maruti,2009,70000,Diesel,Manual,First,21.1,1248,73.9,5,200000
Tata,2012,120000,Diesel,Manual,First,15.42,1405,70,7,250000
Maruti,2016,43000,CNG,Manual,Second,26.6,998,58.16,5,320000
Honda,2017,15780,Petrol,Manual,First,17.8,1198,86.7,5,570000
Mahindra,2011,70000,Diesel,Manual,Second,10.5,2609,120,7,441000
Maruti,2017,40000,Petrol,Manual,First,20.85,1197,83.14,5,595000
Maruti,2018,38817,Diesel,Manual,First,27.39,1248,74,5,740000
Nissan,2014,26000,Petrol,Automatic,First,19.34,1198,76,5,361000
Renault,2018,13000,Petrol,Manual,First,20.71,799,53.26,5,390000
Skoda,2016,11000,Petrol,Automatic,First,14.3,1598,103.5,5,645000
Maruti,2012,80000,Petrol,Manual,Second,18.9,998,67.1,5,225000
Maruti,2008,70000,Petrol,Manual,Second,19.7,796,46.3,5,150000
Tata,2012,50000,Diesel,Manual,Third,19.09,1396,69,5,180000
Ford,2012,70000,Diesel,Manual,Fourth,20,1399,68,5,140000
Maruti,2014,70000,Diesel,Manual,Second,25.2,1248,74,5,570000
Mahindra,2016,100000,Diesel,Manual,First,16,2179,140,7,1000000
Mahindra,2012,80000,Diesel,Manual,Second,20.8,1461,65,5,200000
Maruti,2011,58000,Petrol,Manual,Third,16.1,1298,88.2,5,325000
Ford,2013,104300,Diesel,Manual,First,20,1399,68.1,5,275000
Renault,2014,123000,Diesel,Manual,First,19.01,1461,108.45,5,400000
Chevrolet,2012,70000,Diesel,Manual,Second,25.44,936,57.6,5,165000
Tata,2012,46000,Diesel,Manual,First,19.4,1405,70,5,260000
Mahindra,2013,18000,Diesel,Manual,First,15.1,2179,140,7,900000
Hyundai,2011,90000,Petrol,Manual,Third,17,1197,80,5,290000
Ford,2015,50000,Petrol,Manual,First,15.85,1499,110.4,5,680000
Mahindra,2015,128000,Diesel,Manual,Third,15.96,2523,63,9,475000
Jeep,2017,70000,Diesel,Manual,First,16.3,1956,170,5,1950000
Volkswagen,2017,40000,Diesel,Manual,First,21.66,1498,108.62,5,575000
Hyundai,2018,29000,Diesel,Manual,First,24,1186,73.97,5,520000
Tata,2009,137000,Diesel,Manual,Second,17,1405,70,5,135000
Hyundai,2012,100000,Petrol,Manual,First,21.1,814,55.2,5,190000
Renault,2017,5000,Petrol,Manual,First,25.17,799,53.3,5,285000
Maruti,2012,210000,Diesel,Manual,Second,19.3,1248,73.9,5,370000
Maruti,2014,72000,Petrol,Manual,First,19.1,1197,85.8,5,480000
Volvo,2019,20000,Diesel,Automatic,First,18,1969,190,5,3800000
Honda,2017,30646,Petrol,Manual,First,15.4,1497,117.3,7,840000
Maruti,2016,20000,Petrol,Manual,First,20.4,1197,81.8,5,520000
Maruti,2007,70000,Petrol,Manual,Third,18.9,1061,67,5,150000
Maruti,2007,90000,Petrol,Manual,Second,19.7,796,46.3,5,100000
Hyundai,2013,25000,Petrol,Manual,First,18.5,1197,82.85,5,380000
Toyota,2010,120000,Diesel,Manual,First,12.8,2494,102,7,451999
Tata,2006,175000,Diesel,Manual,Second,13.93,2179,138.1,7,300000
Skoda,2014,65000,Diesel,Manual,Second,21.14,1498,103.52,5,640000
BMW,2019,8500,Diesel,Automatic,First,16.78,1995,190,5,5500000
Volvo,2018,22000,Diesel,Automatic,First,18,1969,190,5,3400000
Hyundai,2018,50000,Diesel,Manual,First,24,1186,73.97,5,550000
Fiat,2015,70000,Diesel,Manual,First,20.4,1248,91.7,5,500000
Hyundai,2011,50000,Petrol,Manual,First,19.81,1086,68.05,5,225000
Toyota,2020,40000,Petrol,Automatic,First,10.75,2694,163.7,8,1500000
Tata,2017,15000,Petrol,Manual,First,17.57,1193,88.7,5,415000
Maruti,2011,170000,Diesel,Manual,First,19.3,1248,73.9,5,250000
Maruti,2004,96000,Petrol,Manual,Third,19.7,796,46.3,5,105000
Maruti,2006,120000,Petrol,Manual,Second,17.3,993,60,5,100000
Maruti,2008,80000,Petrol,Manual,Third,19.7,796,46.3,5,112999
Maruti,2015,35000,Petrol,Manual,First,16.02,1373,93.7,7,700000
Nissan,2017,55000,Diesel,Automatic,First,19.61,1461,108.5,5,850000
Ford,2018,15000,Petrol,Manual,First,17,1497,121.36,5,910000
Honda,2017,25000,Petrol,Manual,First,18.7,1199,88.7,5,650000
Mahindra,2009,80000,Diesel,Manual,Third,12.05,2179,120,7,320000
Hyundai,2019,5000,Petrol,Automatic,First,20.3,1086,68,5,499000
Chevrolet,2008,60000,Petrol,Manual,Fourth,15.26,1150,74.9,5,150000
Hyundai,2016,110000,Petrol,Manual,First,21.1,814,55.2,5,250000
Toyota,2012,145000,Diesel,Manual,Second,12.99,2494,100,8,600000
Ford,2017,70000,Diesel,Manual,First,25.83,1498,99,5,670000
Ford,2012,60000,Diesel,Manual,First,20,1399,68,5,280000
Hyundai,2013,69000,Diesel,Manual,First,21.9,1396,88.76,5,451999
Hyundai,2012,138000,Diesel,Manual,First,22.32,1582,126.32,5,400000
Hyundai,2018,5000,Petrol,Automatic,First,14.8,1591,121.3,5,1350000
Honda,2016,50000,Diesel,Manual,Second,26,1498,98.6,5,1000000
Toyota,2015,125000,Diesel,Manual,First,12.99,2494,100.6,7,900000
Maruti,2014,70000,Diesel,Manual,Third,25.2,1248,74,5,399000
Mahindra,2011,108000,Diesel,Manual,First,16,2179,140,7,475000
Maruti,2018,24400,Petrol,Manual,First,22,1197,81.8,5,550000
Hyundai,2014,10000,Petrol,Manual,First,20.3,998,68.05,5,220000
Land,2019,21000,Diesel,Automatic,First,12.83,1999,148.31,7,4500000
Maruti,2008,120000,Diesel,Manual,Second,17.8,1248,75,5,260000
Honda,2012,100000,Petrol,Manual,Second,16.8,1497,116.3,5,540000
Renault,2015,140000,Diesel,Manual,Second,20.45,1461,83.8,5,620000
Hyundai,2014,70000,Diesel,Manual,Second,22.32,1582,126.32,5,625000
Mahindra,2019,25000,Diesel,Automatic,Second,15.1,2179,152.87,7,1650000
Mahindra,2014,90000,Diesel,Manual,Second,15.1,2179,140,7,750000
Hyundai,2010,110000,Petrol,Manual,First,0,1086,62,5,150000
Maruti,2017,53000,Diesel,Manual,First,28.09,1248,88.5,5,750000
Hyundai,2013,60000,Petrol,Manual,First,21.1,814,55.2,5,180000
Renault,2016,60000,Petrol,Manual,First,25.17,799,53.3,5,315000
Hyundai,2014,40523,Petrol,Manual,Second,18.5,1197,82.85,5,459999
Hyundai,2013,80000,Diesel,Manual,Second,22.32,1582,126.32,5,459999
Maruti,2018,5000,Diesel,Manual,First,24.3,1248,88.5,5,750000
Mahindra,2014,50000,Diesel,Manual,Second,21.03,1461,65,5,250000
Mahindra,2011,175000,Diesel,Manual,Third,13.6,2523,63,7,320000
Maruti,2005,50000,Petrol,Manual,Third,18.9,998,67.1,5,70000
Tata,2011,35000,Petrol,Manual,First,15,1368,90,5,225000
Maruti,2013,62000,Petrol,Manual,First,22,1197,81.8,5,411000
Hyundai,2011,80000,Petrol,Manual,Second,19.81,1086,68.05,5,225000
Maruti,2010,90000,Petrol,Manual,Second,18.9,1061,67,5,170000
Volkswagen,2019,10000,Petrol,Manual,First,17,1198,73.75,5,640000
